phoneme, voiced, vowel
<epsilon>, 0, 0
AH0, 1, 1
EY1, 1, 1
Z, 1, 0
B, 0, 0
AA2, 1, 1
D, 0, 0
IY0, 1, 1
K, 0, 0
AO2, 1, 1
R, 1, 0
T, 0, 0
G, 0, 0
OY1, 1, 1
N, 1, 0
L, 1, 0
M, 1, 0
AY1, 1, 1
OW2, 1, 1
S, 0, 0
P, 0, 0
EH2, 1, 1
IY1, 1, 1
AY2, 1, 1
OW1, 1, 1
ER0, 1, 0
UW1, 1, 1
W, 1, 0
DH, 0, 0
JH, 0, 0
IH1, 1, 1
IH0, 1, 1
NG, 0, 0
IH2, 1, 1
V, 1, 0
AA1, 1, 1
TH, 0, 0
ZH, 1, 0
AE2, 1, 1
SH, 0, 0
EH1, 1, 1
AA0, 1, 1
F, 0, 0
AW1, 1, 1
AE1, 1, 1
OW0, 1, 1
AW2, 1, 1
EY2, 1, 1
EY0, 1, 1
AE0, 1, 1
IY2, 1, 1
CH, 0, 0
ER1, 1, 0
EH0, 1, 1
UW2, 1, 1
AH1, 1, 1
HH, 0, 0
AH2, 1, 1
AO0, 1, 1
OY2, 1, 1
OY0, 1, 1
UH1, 1, 1
AO1, 1, 1
UW0, 1, 1
Y, 1, 0
AW0, 1, 1
AY0, 1, 1
ER2, 1, 0
UH0, 1, 1
UH2, 1, 1
<unk>, 0, 0
, 0, 0
spn, 0, 0
