phoneme, voiced, vowel
EH2, 1, 1
K, 0, 0
S, 0, 0
L, 1, 0
AH0, 1, 1
M, 1, 0
EY1, 1, 1
SH, 0, 0
N, 1, 0
P, 0, 0
OY2, 1, 1
T, 0, 0
OW1, 1, 1
Z, 1, 0
W, 1, 0
D, 0, 0
AH1, 1, 1
B, 0, 0
EH1, 1, 1
V, 1, 0
IH1, 1, 1
AA1, 1, 1
R, 1, 0
AY1, 1, 1
ER0, 1, 0
AE1, 1, 1
AE2, 1, 1
AO1, 1, 1
NG, 0, 0
G, 0, 0
IH0, 1, 1
TH, 0, 0
IY2, 1, 1
F, 0, 0
DH, 0, 0
IY1, 1, 1
HH, 0, 0
UH1, 1, 1
IY0, 1, 1
OY1, 1, 1
OW2, 1, 1
CH, 0, 0
UW1, 1, 1
IH2, 1, 1
EH0, 1, 1
AO2, 1, 1
AA0, 1, 1
AA2, 1, 1
OW0, 1, 1
EY0, 1, 1
AE0, 1, 1
AW2, 1, 1
AW1, 1, 1
EY2, 1, 1
UW0, 1, 1
AH2, 1, 1
UW2, 1, 1
AO0, 1, 1
JH, 0, 0
Y, 1, 0
ZH, 1, 0
AY2, 1, 1
ER1, 1, 0
UH2, 1, 1
AY0, 1, 1
ER2, 1, 0
OY0, 1, 1
UH0, 1, 1
AW0, 1, 1
br, 0, 0
cg, 0, 0
lg, 0, 0
ls, 0, 0
ns, 0, 0
sil, 0, 0
sp, 0, 0
